论文编号,论文名字,参考文献编号,参考文献名字,引用
1,基于图神经网络的特征交互推荐算法研究,48,基于梯度提升决策树的微博虚假消息检测,引用
1,基于图神经网络的特征交互推荐算法研究,8,图神经网络推荐系统综述,引用
1,基于图神经网络的特征交互推荐算法研究,24,数字化生存中的信息过载及其空间治理,引用
1,基于图神经网络的特征交互推荐算法研究,16, 信息过载影响消费者决策研究的知识图谱分析,引用
1,基于图神经网络的特征交互推荐算法研究,37,基于深度学习的推荐系统研究综述,引用
1,基于图神经网络的特征交互推荐算法研究,28,基于融合结构的在线广告点击率预测模型,引用
2, 面向知识图谱的图嵌入学习研究进展,19,知识图谱学习和推理研究进展,引用
3,图神经网络前沿进展与应用,42, 卷积神经网络研究综述,引用
3,图神经网络前沿进展与应用,33,图卷积神经网络综述,引用
5,基于位置社交网络的兴趣点推荐系统研究综述,18,融合社交关系和局部地理因素的兴趣点推荐,引用
5,基于位置社交网络的兴趣点推荐系统研究综述,32,基于深度学习的混合兴趣点推荐算法,引用
5,基于位置社交网络的兴趣点推荐系统研究综述,26,基于位置的社会化网络推荐技术研究进展,引用
8,图神经网络推荐系统综述,33,图卷积神经网络综述,引用
8,图神经网络推荐系统综述,5,基于位置社交网络的兴趣点推荐系统研究综述,引用
8,图神经网络推荐系统综述,12,推荐系统综述,引用
9,知识图谱增强的图神经网络推荐研究进展,2, 面向知识图谱的图嵌入学习研究进展,引用
9,知识图谱增强的图神经网络推荐研究进展,3,图神经网络前沿进展与应用,引用
12,推荐系统综述,31,推荐系统研究综述,引用
12,推荐系统综述,34,个性化推荐系统技术进展,引用
12,推荐系统综述,37,基于深度学习的推荐系统研究综述,引用
13,知识图谱构建技术综述,6,融合知识表示和深度强化学习的知识推理方法,引用
15, 知识图谱增强的图神经网络推荐研究进展,13,知识图谱构建技术综述,引用
15, 知识图谱增强的图神经网络推荐研究进展,37,基于深度学习的推荐系统研究综述,引用
16, 信息过载影响消费者决策研究的知识图谱分析,41,国外网络环境中信息过载研究进展,引用
16, 信息过载影响消费者决策研究的知识图谱分析,30, 信息过载对在线消费者购物决策的影响,引用
16, 信息过载影响消费者决策研究的知识图谱分析,35,基于用户评论的深度情感分析和多视图协同融合的混合推荐方法,引用
16, 信息过载影响消费者决策研究的知识图谱分析,44, 网上信息特征对于消费者延迟选择的影响研究,引用
16, 信息过载影响消费者决策研究的知识图谱分析,46,大数据与推荐系统,引用
20, 图神经网络推荐研究进展,45,一种融合协同过滤和用户属性过滤的混合推荐算法,引用
23,图神经网络在知识图谱构建与应用中的研究进展,15, 知识图谱增强的图神经网络推荐研究进展,引用
23,图神经网络在知识图谱构建与应用中的研究进展,13,知识图谱构建技术综述,引用
23,图神经网络在知识图谱构建与应用中的研究进展,9,知识图谱增强的图神经网络推荐研究进展,引用
24,数字化生存中的信息过载及其空间治理,22, 赛博空间与文艺理论研究的新视野,引用
25, 大规模复杂信息网络表示学习:概念、方法与挑战,29,一种大规模网络中基于节点结构特征映射的链接预测方法,引用
30, 信息过载对在线消费者购物决策的影响,10, 网络化信息环境中信息过载问题研究综述,引用
33,图卷积神经网络综述,42, 卷积神经网络研究综述,引用
35,基于用户评论的深度情感分析和多视图协同融合的混合推荐方法,37,基于深度学习的推荐系统研究综述,引用
37,基于深度学习的推荐系统研究综述,47,利用社交关系的实值条件受限玻尔兹曼机协同过滤推荐算法,引用
37,基于深度学习的推荐系统研究综述,39,跨媒体分析与推理:研究进展与发展方向,引用
40, 深度卷积神经网络的发展及其在计算机视觉领域的应用,38,面向智能交互的图像识别技术综述与展望,引用
41,国外网络环境中信息过载研究进展,21, 信息过载环境下网络消费者购买意愿的形成研究,引用
42, 卷积神经网络研究综述,50, 图像理解中的卷积神经网络,引用
42, 卷积神经网络研究综述,49,基于深度学习的鲁棒性视觉跟踪方法,引用
43, 融合社交网络特征的协同过滤推荐算法,17, 融合社交网络信息的协同过滤推荐算法,引用
44, 网上信息特征对于消费者延迟选择的影响研究,7, 错过价格促销情境下消费者感知价值损失及其对负向购买意愿的影响,引用
48,基于梯度提升决策树的微博虚假消息检测,14, 基于HITS算法的微博用户可信度评估,引用
48,基于梯度提升决策树的微博虚假消息检测,36,一种用于微博谣言检测的半监督学习算法,引用
